id,project_id,month,cumulative_expenditure_cr,physical_progress_pct,reported_issues
1,705728,2017-03-01,2563.89,1.89,none
2,705728,2017-04-01,5016.49,3.21,none
3,705728,2017-05-01,7647.63,4.43,none
4,705728,2017-06-01,10239.02,6.19,none
5,705728,2017-07-01,12896.24,7.37,none
6,705728,2017-08-01,15363.01,9.37,none
7,705728,2017-09-01,17822.5,10.71,none
8,705728,2017-10-01,20367.81,12.18,none
9,705728,2017-11-01,22854.41,13.77,none
10,705728,2017-12-01,25302.86,15.54,none
11,705728,2018-01-01,27808.35,16.99,none
12,705728,2018-02-01,30419.13,18.61,none
13,705728,2018-03-01,32961.79,19.97,none
14,705728,2018-04-01,35386.85,21.73,none
15,705728,2018-05-01,37843.11,23.5,none
16,705728,2018-06-01,40495.04,24.73,none
17,705728,2018-07-01,43111.65,26.86,none
18,705728,2018-08-01,45549.59,28.33,none
19,705728,2018-09-01,48073.63,30.18,none
20,705728,2018-10-01,50611.5,31.46,none
21,705728,2018-11-01,53253.48,32.66,none
22,705728,2018-12-01,55833.42,34.08,none
23,705728,2019-01-01,58377.55,35.55,none
24,705728,2019-02-01,60837.41,37.26,none
25,705728,2019-03-01,63445.66,39.39,none
26,705728,2019-04-01,66084.0,41.49,none
27,705728,2019-05-01,68729.14,43.25,none
28,705728,2019-06-01,71191.8,44.5,none
29,705728,2019-07-01,73686.97,45.71,none
30,705728,2019-08-01,76168.57,47.26,none
31,705728,2019-09-01,78671.64,49.25,none
32,705728,2019-10-01,81221.46,50.69,none
33,705728,2019-11-01,83836.51,51.99,none
34,705728,2019-12-01,86497.99,53.23,none
35,705728,2020-01-01,88961.33,55.17,none
36,705728,2020-02-01,90502.0,56.34,none
37,702668,2017-03-01,890.25,1.73,none
38,702668,2017-04-01,1784.35,3.05,none
39,702668,2017-05-01,2725.15,4.87,none
40,702668,2017-06-01,3614.44,6.16,none
41,702668,2017-07-01,4527.8,7.43,none
42,702668,2017-08-01,5469.91,9.12,none
43,702668,2017-09-01,6396.81,10.97,none
44,702668,2017-10-01,7345.89,12.05,none
45,702668,2017-11-01,8280.98,13.77,none
46,702668,2017-12-01,9209.86,15.5,none
47,702668,2018-01-01,10132.64,16.98,none
48,702668,2018-02-01,11026.01,17.97,none
49,702668,2018-03-01,11968.02,18.96,none
50,702668,2018-04-01,12898.26,20.23,none
51,702668,2018-05-01,13804.64,22.1,none
52,702668,2018-06-01,14757.61,23.47,none
53,702668,2018-07-01,15648.13,24.66,none
54,702668,2018-08-01,16546.41,25.91,none
55,702668,2018-09-01,17504.22,27.8,none
56,702668,2018-10-01,18467.86,29.39,none
57,702668,2018-11-01,19368.47,31.15,none
58,702668,2018-12-01,20301.54,33.0,none
59,702668,2019-01-01,21267.44,34.77,none
60,702668,2019-02-01,22161.01,36.05,none
61,702668,2019-03-01,23083.75,37.24,none
62,702668,2019-04-01,24046.4,39.02,none
63,702668,2019-05-01,24976.84,39.99,none
64,702668,2019-06-01,25880.72,41.37,none
65,702668,2019-07-01,26795.23,42.45,none
66,702668,2019-08-01,27708.41,44.35,none
67,702668,2019-09-01,28656.55,45.83,none
68,702668,2019-10-01,29629.42,47.15,none
69,702668,2019-11-01,30536.03,49.07,none
70,702668,2019-12-01,31447.16,50.53,none
71,702668,2020-01-01,32333.99,51.77,none
72,702668,2020-02-01,33129.0,52.55,none
73,705237,2017-03-01,3406.21,3.07,land acquisition delay; contractor mobilization pending
74,705237,2017-04-01,6898.93,5.38,land acquisition delay; contractor mobilization pending
75,705237,2017-05-01,10306.0,8.53,land acquisition delay; contractor mobilization pending
76,705237,2017-06-01,13892.93,11.37,land acquisition delay; contractor mobilization pending
77,705237,2017-07-01,17468.3,13.77,land acquisition delay; contractor mobilization pending
78,705237,2017-08-01,21010.47,16.3,land acquisition delay; contractor mobilization pending
79,705237,2017-09-01,24519.22,19.1,land acquisition delay; contractor mobilization pending
80,705237,2017-10-01,28131.66,21.36,land acquisition delay; contractor mobilization pending
81,705237,2017-11-01,31519.51,23.85,land acquisition delay; contractor mobilization pending
82,705237,2017-12-01,35047.34,26.06,land acquisition delay; contractor mobilization pending
83,705237,2018-01-01,38376.36,28.9,land acquisition delay; contractor mobilization pending
84,705237,2018-02-01,41778.05,31.58,land acquisition delay; contractor mobilization pending
85,705237,2018-03-01,45161.69,34.39,none
86,705237,2018-04-01,48618.85,37.25,none
87,705237,2018-05-01,51989.74,40.35,none
88,705237,2018-06-01,55352.3,42.86,none
89,705237,2018-07-01,58979.29,45.95,none
90,705237,2018-08-01,62531.04,48.37,none
91,705237,2018-09-01,66046.52,51.35,none
92,705237,2018-10-01,69453.52,54.05,none
93,705237,2018-11-01,73087.39,56.31,none
94,705237,2018-12-01,76629.83,59.38,none
95,705237,2019-01-01,80074.0,61.89,none
96,705237,2019-02-01,83707.84,64.78,none
97,705237,2019-03-01,87301.09,67.83,none
98,705237,2019-04-01,90653.5,70.64,none
99,705237,2019-05-01,94287.84,72.97,none
100,705237,2019-06-01,97614.3,75.74,none
101,705237,2019-07-01,101167.27,78.01,none
102,705237,2019-08-01,104546.22,80.18,none
103,705237,2019-09-01,108109.02,82.9,none
104,705237,2019-10-01,111509.94,85.72,none
105,705237,2019-11-01,114915.35,88.6,none
106,705237,2019-12-01,118497.05,91.09,none
107,705237,2020-01-01,122114.31,93.91,none
108,705237,2020-02-01,124623.0,96.0,none
109,705429,2017-03-01,773.46,1.82,none
110,705429,2017-04-01,1558.64,4.35,none
111,705429,2017-05-01,2362.52,6.8,none
112,705429,2017-06-01,3156.31,9.15,none
113,705429,2017-07-01,3949.3,11.28,none
114,705429,2017-08-01,4760.36,13.03,none
115,705429,2017-09-01,5516.56,14.87,none
116,705429,2017-10-01,6284.77,17.07,none
117,705429,2017-11-01,7114.02,19.57,none
118,705429,2017-12-01,7897.4,22.04,none
119,705429,2018-01-01,8724.63,23.61,none
120,705429,2018-02-01,9554.88,25.59,none
121,705429,2018-03-01,10376.2,28.11,none
122,705429,2018-04-01,11160.75,29.96,none
123,705429,2018-05-01,11939.94,32.37,none
124,705429,2018-06-01,12737.98,34.1,none
125,705429,2018-07-01,13546.96,36.59,none
126,705429,2018-08-01,14308.89,38.72,none
127,705429,2018-09-01,15140.97,40.89,none
128,705429,2018-10-01,15935.99,42.59,none
129,705429,2018-11-01,16748.49,45.02,none
130,705429,2018-12-01,17557.98,47.27,none
131,705429,2019-01-01,18335.34,49.19,none
132,705429,2019-02-01,19153.29,51.55,none
133,705429,2019-03-01,19979.34,53.97,none
134,705429,2019-04-01,20773.04,56.04,none
135,705429,2019-05-01,21578.4,58.39,none
136,705429,2019-06-01,22395.22,60.65,none
137,705429,2019-07-01,23176.07,63.1,none
138,705429,2019-08-01,23937.75,65.03,none
139,705429,2019-09-01,24694.87,67.16,none
140,705429,2019-10-01,25491.8,69.18,none
141,705429,2019-11-01,26292.52,71.02,none
142,705429,2019-12-01,27049.75,72.61,none
143,705429,2020-01-01,27832.34,74.0,none
144,705429,2020-02-01,28286.0,74.0,none
145,706780,2017-03-01,96.23,0.73,none
146,706780,2017-04-01,196.9,0.89,none
147,706780,2017-05-01,298.62,1.54,none
148,706780,2017-06-01,403.7,2.38,none
149,706780,2017-07-01,502.3,3.01,none
150,706780,2017-08-01,600.38,3.92,none
151,706780,2017-09-01,696.55,4.47,none
152,706780,2017-10-01,801.5,4.61,none
153,706780,2017-11-01,903.8,5.56,none
154,706780,2017-12-01,1000.91,6.08,none
155,706780,2018-01-01,1098.78,6.35,none
156,706780,2018-02-01,1201.27,7.01,none
157,706780,2018-03-01,1299.44,7.78,none
158,706780,2018-04-01,1402.16,8.85,none
159,706780,2018-05-01,1503.62,9.52,none
160,706780,2018-06-01,1601.47,10.05,none
161,706780,2018-07-01,1704.39,10.52,none
