project_id,project_name,ministry,sector,implementing_agency,state,latitude,longitude,approval_date,original_cost_cr,revised_cost_cr,approved_completion_date,revised_completion_date,cumulative_expenditure_cr,num_milestones,milestones_completed,milestones_delayed,status
705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,Ministry of Railways,Railways,NHSRCL,Gujarat,22.1583,71.553,2017-03-15,108000.0,108000.0,2022-03-15,2022-07-14,90502.0,18,10,0,Ongoing
702668,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,Ministry of Housing & Urban Affairs,Urban Infrastructure & Metro,Chennai Metro Rail Limited,Tamil Nadu,11.2926,78.8401,2017-03-15,63246.0,33129.0,2022-03-15,2022-07-14,33129.0,18,9,0,Ongoing
705237,WESTERN DEDICATED FREIGHT CORRIDOR,Ministry of Railways,Railways,Dedicated Freight Corridor Corp,Rajasthan,26.665,74.0408,2017-03-15,51101.0,124005.0,2022-03-15,2023-03-15,124623.0,18,17,3,Delayed
705429,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,Ministry of Railways,Railways,RVNL,Uttarakhand,29.7417,78.9135,2017-03-15,38953.0,38953.0,2022-03-15,2022-07-14,28286.0,18,13,0,Ongoing
706780,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,Ministry of Railways,Railways,MRVC,Maharashtra,19.9675,75.4866,2017-03-15,33690.0,33690.0,2022-03-15,2022-07-14,3577.0,18,3,0,Ongoing
709798,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,BPCL,Madhya Pradesh,22.654,78.2715,2017-03-15,43367.0,43367.0,2022-03-15,2022-07-14,4803.0,18,4,0,Ongoing
701263,RAJASTHAN REFINERY PROJECT,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,HPCL,Rajasthan,27.274,74.5757,2017-03-15,43129.0,79459.0,2022-03-15,2023-03-15,69202.0,18,16,3,Delayed
701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,IOCL,Haryana,29.4486,75.8059,2017-03-15,34627.0,36225.0,2022-03-15,2023-03-15,27035.0,18,16,0,Ongoing
400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,ONGC,Andhra Pradesh,15.6584,79.6165,2017-03-15,34012.0,34012.0,2022-03-15,2022-07-14,33007.0,18,17,0,Ongoing
602182,DIBANG MULTIPURPOSE PROJECT,Ministry of Power,Power Transmission & Generation,NHPC,Arunachal Pradesh,28.0148,94.4563,2017-03-15,31876.0,31876.0,2022-03-15,2022-07-14,4593.0,18,3,0,Ongoing
706775,BHARATNET FIBER NETWORK EXPANSION,Department of Telecommunications,Telecommunications,BSNL,PAN India,21.4701,78.7411,2017-03-15,61109.0,188000.0,2022-03-15,2023-03-15,46432.0,18,14,3,Delayed
400188,REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI,Ministry of Housing & Urban Affairs,Urban Infrastructure & Metro,NBCC,Delhi,29.0,77.1176,2017-03-15,32850.0,32841.0,2022-03-15,2022-07-14,13886.0,18,8,0,Ongoing
618412,CONSTRUCTION OF ROAD FROM Z-MORH TUNNEL TO ZOJILA TUNNEL,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Jammu & Kashmir,33.4578,76.3707,2017-03-15,6809.0,6809.0,2022-03-15,2022-07-14,3214.0,18,11,0,Ongoing
PRJ_0001,Roads Infrastructure Development at Uttar Pradesh Section Pkg-2,Ministry of Road Transport & Highways,Roads & Highways,NHIDCL,Uttar Pradesh,,80.8134,2016-05-01,250.37,268.9,2018-11-30,2018-11-30,223.59,13,10,1,Ongoing
PRJ_0002,Railways Infrastructure Development at Andhra Pradesh Section Pkg-3,Ministry of Railways,Railways,Central Railway,Andhra Pradesh,16.4232,79.3567,2019-02-01,150.0,194.4,2020-09-01,2023-01-31,139.38,12,8,1,Delayed
PRJ_0003,Roads Infrastructure Development at Gujarat Section Pkg-4,Ministry of Road Transport & Highways,Roads & Highways,NHAI,Gujarat,22.6023,70.6997,2020-09-01,1533.19,2387.18,2024-01-01,2025-06-01,2168.2,19,16,2,Delayed
PRJ_0004,Railways Infrastructure Development at Karnataka Section Pkg-5,Ministry of Railways,Railways,Dedicated Freight Corridor Corp,Karnataka,15.8357,75.2369,2019-03-01,320.31,341.13,2023-05-31,2023-09-29,293.97,13,11,0,Delayed
PRJ_0005,Railways Infrastructure Development at Maharashtra Section Pkg-6,Ministry of Railways,Railways,Dedicated Freight Corridor Corp,Maharashtra,19.5433,75.7352,2019-03-01,475.89,599.15,2022-09-29,2023-11-29,177.67,6,1,2,Delayed
PRJ_0006,Power Infrastructure Development at Dadra & Nagar Haveli Section Pkg-7,Ministry of Power,Power Transmission & Generation,NTPC,Dadra & Nagar Haveli,20.4439,72.691,2017-05-01,300.28,322.5,2022-03-31,2022-03-31,161.54,13,6,2,Ongoing
PRJ_0007,Roads Infrastructure Development at Jharkhand Section Pkg-8,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Jharkhand,23.7508,85.528,2022-03-01,432.15,597.23,2026-07-31,2027-11-30,170.24,7,1,4,Delayed
PRJ_0008,Railways Infrastructure Development at Tamil Nadu Section Pkg-9,Ministry of Railways,Railways,IRCON,Tamil Nadu,11.347,78.6535,2017-07-01,1922.49,2033.99,2020-01-30,2020-08-30,935.64,20,9,2,Delayed
PRJ_0009,Roads Infrastructure Development at Andhra Pradesh Section Pkg-1,Ministry of Road Transport & Highways,Roads & Highways,MoRTH,Andhra Pradesh,15.598,79.5879,2021-12-01,2863.83,2921.11,2026-05-02,2028-12-31,1825.19,12,7,1,Delayed
